row_id,OBJECTID,AADT,AADT_YEAR,CARTO_CLASS,FLOW_DIRECTION,FROM_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,FROM_STREET,LANES,OWNERSHIP,ROADSEGMENTID,SOURCE,SOURCE_DATE,SPEED_LIMIT,STREET,SUBCATEGORY,TO_LEFT_ADDRESS,TO_RIGHT_ADDRESS,TO_STREET,Shape__Length
804,54654,382,2023,LOCAL STREET,TWOWAY,8,11,FREDERICK ST,2,KIT,6841,REG PLAN 197,2003-04-22T00:00:00.000000,40,LYDIA ST,LOCAL,44,41,BINGEMAN ST,174.376409923539
805,54658,3593,2015,COLLECTOR,TWOWAY,598,587,PUTNAM PL,2,KIT,5444,REG PLAN 1391,2003-04-22T00:00:00.000000,40,WESTHEIGHTS DR,MINOR,598,607,WESTVIEW CRES,88.8465065936834
806,54659,2513,2003,COLLECTOR,TWOWAY,174,169,SOMERFIELD PL,2,KIT,9527,REG PLAN 1419,2003-04-22T00:00:00.000000,40,DRIFTWOOD DR,MINOR,178,173,PARKLAND CRES,60.3335082912411
807,54660,50,2003,LOCAL STREET,TWOWAY,3,6,ERINBROOK DR,2,KIT,9700,REG PLAN 1648,2002-08-13T00:00:00.000000,40,HEDGESTONE CRES,LOCAL,23,14,HEDGESTONE CRT,81.1282093602456
808,54663,300,2009,LOCAL STREET,TWOWAY,169,170,WESTCHESTER PL,2,KIT,15959,REG PLAN 1403,2003-04-22T00:00:00.000000,40,WESTCHESTER DR,LOCAL,195,184,DERBY LANE,136.144253643524
809,54666,1100,2009,COLLECTOR,TWOWAY,2350,2365,CRESTVIEW PL,2,KIT,12097,BY-LAW 2003-149,2003-09-05T00:00:00.000000,40,SHIRLEY DR,MINOR,2400,2385,RIVERVIEW PL,269.225225053274
810,54668,2328,2021,COLLECTOR,TWOWAY,245,250,CHANDLER DR,2,KIT,11621,REG PLAN 1358,2002-08-13T00:00:00.000000,40,STRASBURG RD,MINOR,245,270,OTTAWA ST S,463.838470979612
811,54676,1234,2003,LOCAL STREET,TWOWAY,50,45,NOEL CRES,2,KIT,13227,REG PLAN 914,2003-12-18T00:00:00.000000,40,TRAFALGAR AVE,LOCAL,146,155,FRANKLIN ST N,432.41493583688
812,54679,650,2003,LOCAL STREET,TWOWAY,48,41,MACINTOSH PL,2,KIT,22796,REG PLAN 1641,2002-08-13T00:00:00.000000,40,ROBERTSON CRES,LOCAL,74,93,SUTHERLAND WALK,216.933588404197
813,54680,1200,2003,LOCAL STREET,TWOWAY,210,197,SANDSPRINGS CRES,2,KIT,9690,REG PLAN 1497,2002-08-13T00:00:00.000000,40,SOUTHWOOD DR,LOCAL,274,267,CENTURY HILL DR,273.704428018795
814,54681,1000,2003,COLLECTOR,TWOWAY,75,68,HUCK CRES,2,KIT,40245,58M-117,2003-04-22T00:00:00.000000,40,HIGHGATE RD,MINOR,87,76,KELLER CRES,60.5646389176219
815,54682,2009,2021,COLLECTOR,TWOWAY,40,211,GUELPH ST,2,KIT,12658,REG PLAN 40,2003-04-22T00:00:00.000000,40,SPRING VALLEY RD,MINOR,220,211,WELLINGTON ST N,734.921028570977
816,54683,1522,2019,COLLECTOR,TWOWAY,40,37,QUEENSTON DR,2,KIT,11591,REG PLAN 1177,2003-12-18T00:00:00.000000,40,MONTCALM DR,MINOR,60,61,TECUMSEH CRES,126.808454410143
817,54685,2282,2001,COLLECTOR,TWOWAY,122,119,MORRISON RD,2,KIT,22194,REG PLAN 868,2003-05-30T00:00:00.000000,40,GRAND RIVER BLVD,MINOR,140,125,CHANDOS DR,99.7792511867354
818,54686,500,2005,LOCAL STREET,TWOWAY,7,6,COUNTRYSTONE CRES,2,KIT,600876,58M-474,2008-12-23T00:00:00.000000,40,SASSAFRAS ST,LOCAL,43,46,COUNTRYSTONE CRES,158.373154616682
819,54688,1426,2020,COLLECTOR,TWOWAY,151,144,FRAN ELLEN CRES,2,KIT,21145,REG PLAN 1600,2003-04-22T00:00:00.000000,40,YELLOW BIRCH DR,MINOR,195,184,HODDLE CRES,217.634057872398
820,54694,238,2023,LOCAL STREET,TOFROM,7,6,DEVON ST,1,KIT,8531,REG PLAN 107,2003-04-22T00:00:00.000000,40,HENRY ST,LOCAL,57,52,VICTORIA ST S,188.595211578245
821,54699,100,2003,LOCAL STREET,TWOWAY,301,304,END,2,KIT,12587,REG PLAN 1733,2003-02-10T00:00:00.000000,40,GENERAL PL,LOCAL,301,304,GENERAL DR,36.9572852357775
822,54700,150,2003,LOCAL STREET,TWOWAY,167,148,THE CRESTWAY,2,KIT,16260,GIS STAFF,2003-12-18T00:00:00.000000,40,GRAND HILL DR,LOCAL,167,162,GRAND HILL DR,112.384562268567
823,54702,1430,1999,COLLECTOR,TWOWAY,286,275,ROCKWOOD RD,2,KIT,40165,REG PLAN 1730,2002-08-13T00:00:00.000000,40,ERINBROOK DR,MINOR,286,287,ERINBROOK CRT,81.2540714999803
824,54703,300,2003,LOCAL STREET,TWOWAY,5,10,GRAND HILL DR,2,KIT,16226,GIS STAFF,2003-12-18T00:00:00.000000,40,GRAND HILL DR,LOCAL,121,126,THE KIRKSWAY,699.274996215526
825,54704,287,1998,LOCAL STREET,TWOWAY,2,3,DAIMLER DR,2,KIT,22463,REG PLAN 1647,2003-12-18T00:00:00.000000,40,CORFIELD DR,LOCAL,50,47,CORFIELD PL,251.929446886555
826,54705,642,2023,LOCAL STREET,TWOWAY,120,121,GUERIN AVE,2,KIT,23060,REG PLAN 589,2003-04-22T00:00:00.000000,40,JANSEN AVE,LOCAL,182,199,FAIRWAY RD N,257.882313267547
827,54706,3000,2003,COLLECTOR,TWOWAY,245,248,WILDLARK CRES,3,KIT,5516,REG PLAN 1738,2003-04-22T00:00:00.000000,40,EASTFOREST TRAIL,MINOR,253,252,VICTORIA ST S,103.057704628109
828,54707,1396,2019,LOCAL STREET,TWOWAY,123,118,DALEGROVE DR,2,KIT,8672,REG PLAN 1257,2003-04-22T00:00:00.000000,40,HAZELGLEN DR,LOCAL,239,230,MARKWOOD DR,431.837483456932
829,54708,248,2000,LOCAL STREET,TWOWAY,61,60,INGLESIDE PL,2,KIT,5695,REG PLAN 1321,2003-04-22T00:00:00.000000,40,INGLESIDE DR,LOCAL,107,74,DALEGROVE DR,148.6378445025
830,54710,200,2003,LOCAL STREET,TWOWAY,5,6,ROYAL ORCHARD DR,2,KIT,21216,REG PLAN 1419,2003-04-22T00:00:00.000000,40,TOYNBEE CRES,LOCAL,153,154,DRIFTWOOD DR,515.61125023342
831,54711,300,2009,LOCAL STREET,TWOWAY,10,3,WESTCHESTER DR,2,KIT,15139,REG PLAN 1678,2003-04-22T00:00:00.000000,40,ROSE GARDEN ST,LOCAL,74,71,DENLOW ST,292.501280837162
832,54714,2100,2009,COLLECTOR,TWOWAY,319,322,INADALE CRT,2,KIT,6094,REG PLAN 1273,2003-04-22T00:00:00.000000,40,WESTWOOD DR,MINOR,335,330,DAYMAN CRT,82.5020493090848
833,54715,398,2023,LOCAL STREET,TWOWAY,8,3,FREDERICK ST,2,KIT,6844,REG PLAN 424,2003-04-22T00:00:00.000000,40,SIMEON ST,LOCAL,36,31,BINGEMAN ST,155.841059073172
834,54717,1969,2015,COLLECTOR,TWOWAY,58,85,BINGEMAN ST,2,KIT,9784,REG PLAN 301,2003-04-22T00:00:00.000000,40,EAST AVE,MAJOR,106,107,CHAPEL ST,98.6020979968904
835,54718,400,2003,LOCAL STREET,TWOWAY,15,12,EASTWOOD DR,2,KIT,23110,REG PLAN 1188,2003-12-18T00:00:00.000000,40,ROSEWOOD DR,LOCAL,27,36,ROSEWOOD PL,139.042629211209
836,54719,21319,2015,ARTERIAL,TWOWAY,595,598,WAGNER PL,2,REG,13085,REG PLAN 577,2003-02-10T00:00:00.000000,50,LANCASTER ST W,MAJOR,609,606,JONES PL,85.6528390458334
837,54720,1215,2021,LOCAL STREET,TOFROM,35,40,HALLS LANE W,2,KIT,6697,REG PLAN 391,2003-04-22T00:00:00.000000,40,ONTARIO ST S,LOCAL,35,50,CHARLES ST W,52.2519780337574
838,54721,13509,2015,ARTERIAL,TWOWAY,286,285,CHESTNUT ST,2,REG,6918,REG PLAN 111,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,288,289,LYDIA ST,34.8508756851521
839,54722,12801,2015,ARTERIAL,TWOWAY,314,317,MERNER AVE,3,REG,9786,REG PLAN 111,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,324,329,FILBERT ST,60.2673517901025
840,54724,400,2003,LOCAL STREET,TWOWAY,14,5,PATRICK ST,2,KIT,6972,REG PLAN 376,2003-04-22T00:00:00.000000,40,JOHNSTON ST,LOCAL,58,35,END,201.902014216254
841,54725,300,2003,LOCAL STREET,TWOWAY,6,7,CEDARHILL CRES,2,KIT,9347,REG PLAN 1349,2002-08-13T00:00:00.000000,40,HILLSIDE DR,LOCAL,110,109,CEDARHILL CRES,331.560513979929
842,54726,500,2005,LOCAL STREET,TWOWAY,305,308,DESMOND ST,2,KIT,601072,30T-03201,2004-06-08T00:00:00.000000,40,BEAUMONT CRES,LOCAL,513,518,BEAUMONT CRES,566.26596163734
843,54729,95,1999,LOCAL STREET,TOFROM,300,301,BETZNER AVE N,1,KIT,6849,REG PLAN 129,2003-04-22T00:00:00.000000,40,DUKE ST E,LOCAL,312,313,PANDORA AVE N,86.49380717795
844,54730,166,2022,LOCAL STREET,TWOWAY,24,33,BORDEN AVE N,2,KIT,9231,REG PLAN 218,2003-04-22T00:00:00.000000,40,CRESCENT ST,LOCAL,36,37,ONWARD AVE,106.021551748168
845,54731,743,2020,LOCAL STREET,TWOWAY,132,139,HOFFMAN ST,2,KIT,11754,REG PLAN 886,2003-04-22T00:00:00.000000,40,KEHL ST,LOCAL,242,237,OTTAWA ST S,481.265670646484
846,54732,10978,2019,COLLECTOR,TWOWAY,89,92,VICTORIA ST S,2,KIT,8771,REG PLAN 423,2003-04-22T00:00:00.000000,40,PARK ST,MINOR,125,130,CHERRY ST,242.455030939533
847,54733,800,2003,LOCAL STREET,TWOWAY,38,45,COVINGTON CRES,2,KIT,5588,REG PLAN 1542,2003-04-22T00:00:00.000000,40,NEWBURY DR,LOCAL,220,211,BURNABY CRES,572.634007118529
848,54734,18757,2015,ARTERIAL,TWOWAY,627,640,GLASGOW ST,4,REG,8560,REG PLAN 872,2003-04-22T00:00:00.000000,50,WESTMOUNT RD W,MAJOR,665,662,CLAREMONT AVE,185.47901644893
849,54735,100,2009,LOCAL STREET,TWOWAY,24,21,DOON VILLAGE RD,2,KIT,22701,REG PLAN 594,2003-04-22T00:00:00.000000,40,WILFONG DR,LOCAL,24,31,MITIERRA DR,152.95605945109
850,54737,5557,2001,COLLECTOR,TWOWAY,565,570,ST CLAIR AVE,2,KIT,6446,REG PLAN 326,2003-04-22T00:00:00.000000,40,STIRLING AVE S,MINOR,581,584,PLEASANT AVE,98.4202170099008
851,54741,741,2011,LOCAL STREET,TWOWAY,127,130,BRANT CRES,2,KIT,6336,REG PLAN 676,2003-04-22T00:00:00.000000,40,GLEN RD,LOCAL,135,130,PLEASANT AVE,82.8909422653646
852,54744,518,2001,LOCAL STREET,TWOWAY,30,35,ST CLAIR AVE,2,KIT,6450,REG PLAN 670,2003-04-22T00:00:00.000000,40,ST CLAIR AVE,LOCAL,54,53,NORFOLK CRES,107.941455084006
853,54745,4600,2003,COLLECTOR,TWOWAY,535,536,LORNE CRES,2,KIT,20968,REG PLAN 25,2003-04-22T00:00:00.000000,40,STIRLING AVE S,MINOR,561,556,ST CLAIR AVE,104.545834858143
854,54747,1000,2003,LOCAL STREET,TWOWAY,15,14,HERMIE PL,2,KIT,6785,REG PLAN 374,2003-04-22T00:00:00.000000,40,ELLEN ST W,LOCAL,61,56,VICTORIA ST N,231.747543564011
855,54752,3832,2000,COLLECTOR,TWOWAY,11,6,VANIER DR,2,KIT,10057,REG PLAN 1081,2002-08-13T00:00:00.000000,30,WALTON AVE,MINOR,25,6,KIPLING AVE,114.15770791604
856,54753,1500,2003,LOCAL STREET,TWOWAY,209,208,CORNELL AVE,2,KIT,10082,REG PLAN 923,2003-04-22T00:00:00.000000,40,DOON RD,LOCAL,217,218,CARWOOD AVE,89.2948179832922
857,54754,1246,1999,LOCAL STREET,TWOWAY,6,5,CARSON DR,2,KIT,15911,REG PLAN 1203,2003-04-22T00:00:00.000000,40,CONFEDERATION DR,LOCAL,10,15,CHAMPLAIN CRES,87.0227590872623
858,54755,200,2003,LOCAL STREET,TWOWAY,2,1,BANKSIDE DR,2,KIT,25453,REG PLAN 1827,2003-04-22T00:00:00.000000,40,GOLDEN TERRACE CRT,LOCAL,36,37,CUL DE SAC,112.112083433451
859,54756,100,2003,LOCAL STREET,TWOWAY,12,15,DIRKSEN CRT,2,KIT,40370,58M-162,2003-04-22T00:00:00.000000,40,MAPLE MANOR CRT,LOCAL,28,27,CUL DE SAC,76.1301231558146
860,54758,75,2003,LOCAL STREET,TWOWAY,104,101,MAPLE MANOR CRT,2,KIT,40371,58M-162,2003-04-22T00:00:00.000000,40,DIRKSEN CRT,LOCAL,116,115,CUL DE SAC,82.3957669748019
861,54760,1665,2002,LOCAL STREET,TWOWAY,905,900,DEER RIDGE CRES,2,KIT,40228,58M-167,2003-04-22T00:00:00.000000,40,DEER RIDGE CRT,LOCAL,933,928,CUL DE SAC,184.051616929642
862,54764,3300,2003,COLLECTOR,TWOWAY,26,11,WESTMOUNT RD E,2,KIT,6353,REG PLAN 1240,2002-08-13T00:00:00.000000,40,LAURENTIAN DR,MINOR,34,29,DARCY PL,183.433533563862
863,54765,1496,2023,COLLECTOR,TWOWAY,38,41,DARCY PL,2,KIT,6360,REG PLAN 1240,2002-08-13T00:00:00.000000,40,LAURENTIAN DR,MINOR,50,57,CARTIER DR,96.8010793693787
864,54766,700,2003,LOCAL STREET,TWOWAY,45,56,OSWEGO CRT,2,KIT,10344,REG PLAN 1515,2003-04-22T00:00:00.000000,40,GEORGIAN ST,LOCAL,63,72,GEORGIAN CRES,102.420359465115
865,54767,2500,2003,COLLECTOR,TWOWAY,2,7,HERITAGE DR,2,KIT,10282,REG PLAN 1413,2003-04-22T00:00:00.000000,40,KEEWATIN AVE,MINOR,8,15,NIPIGON ST,81.2963509443278
866,54769,700,2003,LOCAL STREET,TWOWAY,120,117,SANDSPRINGS CRES,2,KIT,9689,REG PLAN 1417,2002-08-13T00:00:00.000000,40,DEVONGLEN DR,LOCAL,154,151,SOUTHWOOD DR,169.714897799158
867,54773,1697,2021,COLLECTOR,TWOWAY,9,12,QUEEN ST N,2,KIT,6781,REG PLAN 374,2003-04-22T00:00:00.000000,40,MARGARET AVE,MAJOR,43,30,MAYNARD AVE,249.397773952099
868,54774,500,2009,LOCAL STREET,TWOWAY,133,118,BERRY MOSS ST,2,KIT,40315,58M-209,2002-08-13T00:00:00.000000,40,MOUNTAIN LAUREL CRES,LOCAL,169,162,BLUE LACE CRES,134.464019552672
869,54775,4364,2021,COLLECTOR,TWOWAY,600,599,MANITOU DR,4,KIT,21897,MCP 1036,2002-08-13T00:00:00.000000,50,WABANAKI DR,MINOR,610,685,KEVCO PL,553.807733044792
870,54778,1000,2003,LOCAL STREET,TWOWAY,387,368,LAWRENCE AVE,2,KIT,1255,REG PLAN 402,2003-04-22T00:00:00.000000,40,KARN ST,LOCAL,391,406,ALICE AVE,123.782971590935
871,54779,2460,2003,LOCAL STREET,TWOWAY,417,420,ADELAIDE ST,2,KIT,1226,REG PLAN 645,2003-04-22T00:00:00.000000,40,LAWRENCE AVE,LOCAL,429,428,KARN ST,65.6788288646467
872,54780,2492,2017,LOCAL STREET,TWOWAY,19,24,TREMAINE CRES,2,KIT,601156,30T-00201,2004-08-31T00:00:00.000000,40,TREMAINE DR,LOCAL,39,36,TREMAINE CRES,78.2788056382302
873,54792,500,2005,LOCAL STREET,TWOWAY,305,318,GRASSWOOD ST,2,KIT,601187,30T-00204,2004-07-23T00:00:00.000000,40,WATERBEND CRES,LOCAL,343,338,SIMS ESTATE DR,184.609642588152
874,54793,205,2003,LOCAL STREET,TWOWAY,500,521,FALCONRIDGE DR,2,KIT,540411,REG PLAN 58M-182,2002-06-06T00:00:00.000000,40,FALCONRIDGE CRES,LOCAL,576,557,FALCONRIDGE DR,379.036951093937
875,54796,1107,2019,LOCAL STREET,TWOWAY,39,40,OLYMPIC DR,2,KIT,11738,REG PLAN 384,2003-04-22T00:00:00.000000,40,HOFFMAN ST,LOCAL,75,72,MEINZINGER AVE,163.634698994039
876,54801,476,2021,LOCAL STREET,TWOWAY,392,397,NINTH AVE,2,KIT,9980,REG PLAN 254,2002-08-13T00:00:00.000000,40,GREENFIELD AVE,LOCAL,406,407,CARROL ST,89.9278560841564
877,54802,350,2003,LOCAL STREET,TWOWAY,41,54,DEER RIDGE CRT,2,KIT,40230,58M-88,2003-04-22T00:00:00.000000,40,DEER RIDGE CRES,LOCAL,41,70,PIONEER TOWER CRES,115.081604595156
878,54803,100,2003,LOCAL STREET,TWOWAY,135,136,GEORGIAN ST,2,KIT,10347,REG PLAN 1413,2003-04-22T00:00:00.000000,40,GEORGIAN PL,LOCAL,165,164,CUL DE SAC,80.5854375302364
879,54804,100,2003,LOCAL STREET,TWOWAY,901,900,KEEWATIN AVE,2,KIT,25527,REG PLAN 1829,2003-04-22T00:00:00.000000,40,KEEWATIN PL,LOCAL,921,920,CUL DE SAC,51.3295157675258
880,54806,150,2003,LOCAL STREET,TWOWAY,2,3,WESTFOREST TRAIL,2,KIT,4855,PARCELID,2003-04-22T00:00:00.000000,40,SHADYRIDGE PL,LOCAL,42,35,CUL DE SAC,126.849467489375
881,54807,100,2003,LOCAL STREET,TWOWAY,304,303,EDENBRIDGE DR,2,KIT,23035,REG PLAN 1608,2003-12-18T00:00:00.000000,40,EDENBRIDGE PL,LOCAL,334,331,CUL DE SAC,126.341734942058
882,54814,116,2023,LOCAL STREET,TWOWAY,500,501,MARL MEADOW DR,2,KIT,25582,REG PLAN 1832,2002-08-13T00:00:00.000000,40,MARL MEADOW CRES,LOCAL,620,619,MARL MEADOW DR,436.165992106614
883,54815,3431,2014,COLLECTOR,TWOWAY,5,20,BLOCK LINE RD,2,KIT,9273,REG PLAN 1416,2002-08-13T00:00:00.000000,40,RITTENHOUSE RD,MINOR,7,20,BROOKFIELD CRES,126.604568047193
884,54816,4913,2013,COLLECTOR,TWOWAY,558,563,SHERWOOD AVE,2,KIT,9923,REG PLAN 841,2003-12-18T00:00:00.000000,40,KRUG ST,MAJOR,578,567,KENSINGTON AVE,86.9410310843491
885,54820,269,2021,LOCAL STREET,TWOWAY,124,127,KRUG ST,2,KIT,9804,REG PLAN 414,2003-04-22T00:00:00.000000,40,SIMEON ST,LOCAL,186,189,CAMERON ST N,226.092102095225
886,54821,347,2002,LOCAL STREET,TWOWAY,202,197,CAMERON ST N,2,KIT,9801,REG PLAN 284,2003-04-22T00:00:00.000000,40,LYDIA ST,LOCAL,218,211,PANDORA AVE N,100.433207422768
887,54822,289,2021,LOCAL STREET,TWOWAY,240,241,PANDORA AVE N,2,KIT,11485,REG PLAN 284,2003-04-22T00:00:00.000000,40,SIMEON ST,LOCAL,258,261,STIRLING AVE N,143.87531603776
888,54824,333,2020,LOCAL STREET,TWOWAY,12,11,PANDORA AVE S,2,KIT,6854,REG PLAN 129,2003-04-22T00:00:00.000000,40,PANDORA AVE N,LOCAL,32,29,DUKE ST E,134.715026125128
889,54825,450,2003,LOCAL STREET,TWOWAY,2,11,KING ST E,2,KIT,10174,REG PLAN 77,2003-04-22T00:00:00.000000,40,FAIRVIEW AVE,LOCAL,58,61,WEBER ST E,277.067694226714
890,54828,2097,2023,COLLECTOR,TWOWAY,6,1,LANCASTER ST E,2,KIT,6880,REG PLAN 414,2003-04-22T00:00:00.000000,40,KRUG ST,MAJOR,44,39,ROSE ST,187.923471039097
891,54830,418,2023,LOCAL STREET,TWOWAY,18,9,FREDERICK ST,2,KIT,6836,REG PLAN 424,2003-04-22T00:00:00.000000,40,SAMUEL ST,LOCAL,32,25,BINGEMAN ST,138.296597638742
892,54838,500,2003,LOCAL STREET,TWOWAY,120,125,KINGSTON CRES,2,KIT,23175,REG PLAN 1178,2003-04-22T00:00:00.000000,40,QUEENSTON DR,LOCAL,124,125,INDIAN RD,65.6562066613473
893,54839,2364,2003,COLLECTOR,TWOWAY,160,153,INDIAN RD,2,KIT,23187,REG PLAN 1202,2003-12-18T00:00:00.000000,30,MONTCALM DR,MINOR,160,153,HAMPTON PL,72.0425077100033
894,54840,350,2003,LOCAL STREET,TWOWAY,16,25,SUNRISE PL,2,KIT,10251,REG PLAN 1009,2003-04-22T00:00:00.000000,40,SMETANA DR,LOCAL,30,25,MARKETA CRES,141.899286594556
895,54842,3767,2008,COLLECTOR,TWOWAY,73,44,WELLINGTON ST S,2,KIT,8899,REG PLAN 377,2003-04-22T00:00:00.000000,40,WALTER ST,MAJOR,77,70,AGNES ST,177.658967461616
896,54843,350,2003,LOCAL STREET,TWOWAY,71,72,BADEN CRT,2,KIT,600097,58M-310,2004-02-25T00:00:00.000000,40,WAGON ST,LOCAL,79,80,GRAND HILL DR,94.7458643568886
897,54844,500,2004,LOCAL STREET,TWOWAY,233,228,AMELIA ST,2,KIT,600301,58M-331,2004-10-07T00:00:00.000000,40,COLTON CIR,LOCAL,277,284,VENTURIN ST,166.639044009918
898,54845,307,2019,LOCAL STREET,TWOWAY,223,220,WESTMOUNT RD W,3,KIT,8612,"REG PLAN 872 UPDATED TO CLAREMONT AVE FROM CLAREMONT BLVD (MAR 3, '05).  KEN CARMICHAEL WILL BE WORKING ON HAVING THE NAME OFFICIALLY CHANGED AT A LATER DATE (JUNE 22, '05) ",2005-03-04T00:00:00.000000,40,CLAREMONT AVE,LOCAL,287,278,ABERDEEN RD,279.314129161707
899,54847,36995,2015,ARTERIAL,TWOWAY,4341,4336,HELDMANN RD,6,REG,603930,PLAN 768,2003-04-22T00:00:00.000000,60,KING ST E,MAJOR,4355,4336,SPORTSWORLD DR,220.936369757128
900,54851,350,2003,LOCAL STREET,TWOWAY,2,3,DUBRICK CRES,2,KIT,600376,58M-247,2003-04-22T00:00:00.000000,40,SWARTZ ST,LOCAL,74,75,COMMONWEALTH ST,269.612051612786
901,54852,1322,2022,LOCAL STREET,TWOWAY,160,163,DUBRICK CRES,2,KIT,600379,58M-247,2003-04-22T00:00:00.000000,40,COTTON GRASS ST,LOCAL,240,235,COMMONWEALTH ST,261.649136571836
902,54859,939,2023,LOCAL STREET,TWOWAY,9,6,CHANDLER DR,2,KIT,6362,REG PLAN 1270,2002-08-13T00:00:00.000000,40,ELMSDALE DR,LOCAL,25,60,PALACE ST,289.784454454338
903,54862,228,2023,LOCAL STREET,FROMTO,46,39,BENTON ST,1,KIT,11308,REG PLAN 205,2003-04-22T00:00:00.000000,40,ST GEORGE ST,LOCAL,62,59,HEBEL PL,113.179588469221
904,54863,1000,2003,LOCAL STREET,TWOWAY,98,95,PETER ST,2,KIT,6626,REG PLAN 382,2003-04-22T00:00:00.000000,40,CHURCH ST,LOCAL,112,105,EBY ST S,65.2368707104797
905,54865,804,2022,LOCAL STREET,TWOWAY,58,81,ROSEDALE AVE,2,KIT,11706,REG PLAN 719,2003-04-22T00:00:00.000000,40,SYDNEY ST N,LOCAL,102,103,WEBER ST E,158.27532333092
906,54867,2000,2017,COLLECTOR,TWOWAY,585,584,DOONWOODS CRES,2,KIT,602363,58M-588,2013-09-16T00:00:00.000000,40,BLAIR CREEK DR,MINOR,601,598,DOONWOODS CRES,79.973173990116
907,54868,2000,2017,COLLECTOR,TWOWAY,555,582,NETHERWOOD RD,2,KIT,602362,58M-588,2013-09-16T00:00:00.000000,40,BLAIR CREEK DR,MINOR,579,582,DOONWOODS CRES,107.773795528623
908,54876,519,2021,LOCAL STREET,TWOWAY,210,225,GLENDALE RD,2,KIT,9880,REG PLAN 768,2003-04-22T00:00:00.000000,40,MELROSE AVE,LOCAL,276,261,PANDORA AVE N,200.264913736175
909,54878,150,2003,LOCAL STREET,TWOWAY,2,61,ACTIVA AVE,2,KIT,40335,58M-267,2003-04-22T00:00:00.000000,40,SWEET WILLIAM ST,LOCAL,102,105,PERIWINKLE ST,241.584221083475
910,54880,2427,2001,LOCAL STREET,TWOWAY,15,22,SHIRK PL,2,KIT,13074,58R-2786,2003-02-10T00:00:00.000000,40,WOOLWICH ST,LOCAL,19,32,BRIDGE ST W,199.108844036718
911,54884,1183,2023,COLLECTOR,TWOWAY,777,750,UXBRIDGE CRES,2,KIT,9250,REG PLAN 1441,2002-08-13T00:00:00.000000,40,ERINBROOK DR,MINOR,801,800,RITTENHOUSE RD,224.032757342538
912,54886,1060,2023,COLLECTOR,TWOWAY,527,528,SUMMIT AVE,2,KIT,6130,REG PLAN 1057,2003-04-22T00:00:00.000000,40,FOREST HILL DR,MINOR,551,562,UPLANDS DR,161.973477139028
913,54887,914,2012,LOCAL STREET,TWOWAY,23,20,SPRING MIST DR,2,KIT,40236,58M-89,2003-04-22T00:00:00.000000,40,FALL HARVEST DR,LOCAL,43,40,PIONEER RIDGE DR,231.116179938084
914,54888,1383,2019,COLLECTOR,TWOWAY,211,182,MAPLE MANOR CRT,2,KIT,22255,58M-89,2003-04-22T00:00:00.000000,40,PIONEER TOWER RD,MINOR,211,274,PIONEER RIDGE DR,482.124227052665
915,54889,408,2021,LOCAL STREET,TWOWAY,83,92,FISCHER CRT,2,KIT,600224,58M-316,2004-05-06T00:00:00.000000,40,PINE VALLEY DR,LOCAL,223,288,KNOX CRT,628.916243559582
916,54891,400,2003,LOCAL STREET,TWOWAY,139,94,REISTVIEW ST,2,KIT,600460,58M-308,2004-02-18T00:00:00.000000,40,HENHOEFFER CRES,LOCAL,159,144,BIG SPRINGS CRT,140.706978884562
917,54892,650,2003,LOCAL STREET,TWOWAY,16,19,ARCHER PL,2,KIT,22906,REG PLAN 253,2003-12-18T00:00:00.000000,40,LYNDHURST DR,LOCAL,38,33,NOTTINGHAM AVE,148.895496004681
918,54897,25834,2015,ARTERIAL,TWOWAY,808,833,OVERLAND DR,6,REG,10863,REG PLAN 695,2002-08-13T00:00:00.000000,50,COURTLAND AVE E,MAJOR,844,859,WALTON AVE,235.245200632608
919,54899,486,2003,LOCAL STREET,TWOWAY,25,24,MCINTYRE DR,2,KIT,9617,58R-5668,2002-08-13T00:00:00.000000,50,MCINTYRE PL,LOCAL,63,80,CUL DE SAC,203.411049209605
920,54909,2000,2003,LOCAL STREET,TWOWAY,3,4,SHANLEY ST,2,KIT,8877,REG PLAN 376,2003-04-22T00:00:00.000000,40,DEKAY ST,LOCAL,7,10,BRIAR AVE,97.3696006846232
921,54911,2200,2009,LOCAL STREET,TWOWAY,167,162,NYBERG ST,2,KIT,11475,REG PLAN 262,2003-04-22T00:00:00.000000,40,SYDNEY ST S,LOCAL,185,180,DUNDAS AVE,83.1194365446137
922,54913,400,2009,LOCAL STREET,TWOWAY,14,15,DAVID ELSEY CRES,2,KIT,601165,30T-00201,2004-08-31T00:00:00.000000,40,WILLIAM LEWIS ST,LOCAL,22,27,DAVID ELSEY CRES,74.3291251304977
923,54914,400,2005,LOCAL STREET,TWOWAY,115,76,AMELIA ST,2,KIT,601275,58M-331,2004-10-07T00:00:00.000000,40,COLTON CIR,LOCAL,171,224,AMELIA ST,338.276215872601
924,54916,323,2012,LOCAL STREET,TWOWAY,201,200,PINE VALLEY DR,2,KIT,600227,58M-337,2004-11-12T00:00:00.000000,40,RIDGEMERE CRT,LOCAL,293,286,RIDGEMERE ST,335.374067961224
